127.0.0.1 - - [18/Feb/2021:11:57:22 +0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/ HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/home.html HTTP/1.1" 200 25168
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/module/module-home/css/home-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:24 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:25 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:25 +0600] "GET /web_kdrl/module/module-util/js/url.js HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:25 +0600] "GET /web_kdrl/module/module-home/js/home-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/home.html HTTP/1.1" 200 26884
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/module/css/adminlte.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 293327
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/fontawesome-free/css/all.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 55971
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/jqvmap/jqvmap.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 9270
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1176
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/overlayScrollbars/css/OverlayScrollbars.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 19568
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/icheck-bootstrap/icheck-bootstrap.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/gijgo/css/gijgo.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 43651
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/module/module-home/css/home-styles.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 188759
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/font/font.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 10585
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/module/module-util/css/style.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/js/jquery-1.10.2.min.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/sweetalert2/sweetalert2.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 26970
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/assets/img/portfolio/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/jquery/jquery.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/jquery-ui/jquery-ui.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 253681
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/jquery-ui/jquery-ui.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 32082
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/toastr/toastr.min.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 6454
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/jquery-validation/jquery.validate.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 24379
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/utill/utill.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/chart.js/Chart.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:30 +0600] "GET /web_kdrl/plugins/bootstrap/js/bootstrap.bundle.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 78641
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/sparklines/sparkline.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.css;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1176
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/jqvmap/maps/jquery.vmap.world.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1183
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/jqvmap/jquery.vmap.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 21159
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/gijgo/js/gijgo.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 177487
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/jquery-knob/jquery.knob.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/moment/moment.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 53324
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/summernote/summernote-bs4.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 404 1179
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/jquery-validation/additional-methods.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 22663
0:0:0:0:0:0:0:1 - - [18/Feb/2021:11:57:31 +0600] "GET /web_kdrl/plugins/bootbox/bootbox.all.min.js;jsessionid=AE2D38AE1DFFB57E821A31AB03DD6EC0 HTTP/1.1" 200 16958
